Date,BM,Fund_1,Fund_2
12/31/2015,203.87,108.29,254.04
1/1/2016,203.87,108.29,254.04
1/4/2016,201.0192,106.61,250.82
1/5/2016,201.36,106.1,250.9
1/6/2016,198.82,104.66,247.36
1/7/2016,194.05,101.29,241.04
1/8/2016,191.923,100.42,237.82
1/11/2016,192.11,100.91,237.1
1/12/2016,193.6608,102.06,238.08
1/13/2016,188.83,99.2,231.6608
1/14/2016,191.93,101.11,234.4
1/15/2016,187.81,98.1,231.03
1/18/2016,187.81,98.1,231.03
1/19/2016,188.06,97.84,229.76
1/20/2016,185.65,97.32,228.27
1/21/2016,186.69,97.57,228.62
1/22/2016,190.52,100.3,234.34
1/25/2016,187.64,98.82,229.48
1/26/2016,190.2,99.84,234.62
1/27/2016,188.13,97.44,232.25
1/28/2016,189.11,98.52,232.34
1/29/2016,193.7208,101.93,239.97
2/1/2016,193.65,102.18,239.61
2/2/2016,190.16,100.11,234.51
2/3/2016,191.3,99.88,236.14
2/4/2016,191.6,100.12,237.89
2/5/2016,187.95,96.37,232.83
2/8/2016,185.42,94.63,228.85
2/9/2016,185.43,94.19,228.22
2/10/2016,185.27,94.62,228.76
2/11/2016,182.86,94.29,225.58
2/12/2016,186.63,95.67,229.74
2/15/2016,186.63,95.67,229.74
2/16/2016,189.78,97.66,234.67
2/17/2016,192.88,100.06,238.36
2/18/2016,192.09,99.43,237.78
2/19/2016,192,99.83,237.9
2/22/2016,194.78,101.2,240.93
2/23/2016,192.32,99.48,238.8
2/24/2016,193.2,100.44,240.28
2/25/2016,195.54,101.62,243.03
2/26/2016,195.0892,101.52,244.18
2/29/2016,193.56,100.94,242.94
3/1/2016,198.11,104,248.5
3/2/2016,199,104.27,250.66
3/3/2016,199.775,104.31,253.34
3/4/2016,200.43,104.63,255.09
3/7/2016,200.59,104.06,256.27
3/8/2016,198.4,103.02,251.34
3/9/2016,199.38,103.99,252.46
3/10/2016,199.54,103.76,251.66
3/11/2016,202.76,105.57,256.55
3/14/2016,202.5,105.61,255.63
3/15/2016,202.17,105.84,253.92
3/16/2016,203.34,107.02,256.65
3/17/2016,204.63,107.61,259.26
3/18/2016,204.38,107.97,259.7
3/21/2016,204.67,107.86,259.83
3/22/2016,204.56,107.99,259.81
3/23/2016,203.2092,107.15,256.7
3/24/2016,203.12,107.3,256.91
3/25/2016,203.12,107.3,256.91
3/28/2016,203.24,107.05,257.88
3/29/2016,205.1208,108.87,262.65
3/30/2016,206.02,109.61,262.59
3/31/2016,205.52,109.53,262.72
4/1/2016,206.92,110.36,264.19
4/4/2016,206.25,109.78,261.43
4/5/2016,204.1892,108.64,258.78
4/6/2016,206.42,109.83,261.37
4/7/2016,203.95,108.25,257.9592
4/8/2016,204.4992,108.28,259.57
4/11/2016,204.0201,108.06,259.1
4/12/2016,205.92,108.56,261.98
4/13/2016,208.0008,110.26,266.34
4/14/2016,208.01,110.1,265.29
4/15/2016,207.78,109.55,266.45
4/18/2016,209.2392,110.11,267.62
4/19/2016,209.9,109.43,268.61
4/20/2016,210.1,109.7,268.76
4/21/2016,208.97,109.62,266.41
4/22/2016,208.97,107.98,268.7
4/25/2016,208.61,107.77,267.27
4/26/2016,208.9192,107.58,269.52
4/27/2016,209.35,106.8,270.89
4/28/2016,207.4475,105.37,267.35
4/29/2016,206.3308,104.41,265.85
5/2/2016,207.97,105.02,268.3
5/3/2016,206.1592,104.07,264.53
5/4/2016,205.01,103.61,263.41
5/5/2016,204.97,103.62,263.24
5/6/2016,205.72,104.28,264.46
5/9/2016,205.8892,104.38,264.4
5/10/2016,208.45,105.75,267.53
5/11/2016,206.5,105.07,264.9
5/12/2016,206.56,104.53,264.81
5/13/2016,204.76,104.28,262.18
5/16/2016,206.78,105.63,264.93
5/17/2016,204.8508,104.54,262.06
5/18/2016,204.91,105.13,261.45
5/19/2016,204.2,104.56,260.56
5/20/2016,205.49,105.89,264.19
5/23/2016,205.21,105.87,263.63
5/24/2016,207.87,108.12,268
5/25/2016,209.28,108.87,269.66
5/26/2016,209.34,109.17,269.78
5/27/2016,210.24,109.81,271.98
5/30/2016,210.24,109.81,271.98
5/31/2016,209.84,109.99,271.82
6/1/2016,210.27,109.93,273.09
6/2/2016,210.91,109.93,274.89
6/3/2016,210.28,109.55,273.38
6/6/2016,211.35,109.96,275.81
6/7/2016,211.68,110.18,276.69
6/8/2016,212.37,110.54,277.99
6/9/2016,212.08,110.45,277.28
6/10/2016,210.07,109.12,273.38
6/13/2016,208.4492,108.13,270.44
6/14/2016,208.04,108.24,269.46
6/15/2016,207.75,108.05,269.96
6/16/2016,208.37,108.25,269.77
6/17/2016,206.52,107.26,268.93
6/20/2016,207.85,108.05,271.76
6/21/2016,208.44,108.25,271.97
6/22/2016,208.1,107.77,271.08
6/23/2016,210.81,109.44,276.1
6/24/2016,203.13,104.69,264.93
6/27/2016,199.6,101.94,257.47
6/28/2016,203.1997,104.03,262.4192
6/29/2016,206.66,105.76,267.45
6/30/2016,209.475,107.09,272.23
7/1/2016,209.9208,107.16,272.78
7/4/2016,209.9208,107.16,272.78
7/5/2016,208.41,106.29,269.65
7/6/2016,209.66,106.87,271.05
7/7/2016,209.526,107.21,271.52
7/8/2016,212.65,109.15,276.67
7/11/2016,213.4,109.82,278.22
7/12/2016,214.95,110.91,281
7/13/2016,214.92,110.83,280.24
7/14/2016,216.12,111.63,280.88
7/15/2016,215.83,111.44,280.87
7/18/2016,216.4092,112.22,281.24
7/19/2016,216.19,112.05,280.72
7/20/2016,217.085,113.57,281.9
7/21/2016,216.265,112.9,280.25
7/22/2016,217.24,113.54,282.51
7/25/2016,216.65,113.51,281.47
7/26/2016,216.75,114.03,283.06
7/27/2016,216.52,114.9,281.88
7/28/2016,216.77,115.18,282.81
7/29/2016,217.12,115.2,283.78
8/1/2016,216.94,115.71,283.02
8/2/2016,215.5492,114.63,279.8
8/3/2016,216.18,115.07,281.6
8/4/2016,216.4097,115.73,281.64
8/5/2016,218.18,117.09,284.36
8/8/2016,218.05,117.11,284.42
8/9/2016,218.18,117.31,284.32
8/10/2016,217.64,116.99,283.47
8/11/2016,218.65,117.43,284.13
8/12/2016,218.46,117.34,283.63
8/15/2016,219.09,118.01,285.76
8/16/2016,217.96,117.4,283.02
8/17/2016,218.37,117.25,282.51
8/18/2016,218.86,117.44,284.45
8/19/2016,218.54,117.7,284.53
8/22/2016,218.53,117.65,284.8
8/23/2016,218.97,118.2,286.21
8/24/2016,217.85,117.55,284.78
8/25/2016,217.7,117.79,285.17
8/26/2016,217.29,117.9,284.07
8/29/2016,218.3608,118.22,286.27
8/30/2016,218,118,286.19
8/31/2016,217.38,117.89,285.08
9/1/2016,217.39,118.33,284.95
9/2/2016,218.37,118.83,287.89
9/5/2016,218.37,118.83,287.89
9/6/2016,219.0308,119.34,287.27
9/7/2016,219.01,119.62,288.35
9/8/2016,218.51,118.61,287
9/9/2016,213.28,115.82,278.55
9/12/2016,216.34,117.66,281.9
9/13/2016,213.23,116.83,276.78
9/14/2016,213.15,117.42,276
9/15/2016,215.28,119.36,278.86
9/16/2016,213.37,118.92,276.37
9/19/2016,213.41,118.79,278.42
9/20/2016,213.42,118.36,277.05
9/21/2016,215.82,119.7,280.75
9/22/2016,217.18,120.52,284.06
9/23/2016,215.99,119.44,281.81
9/26/2016,214.24,118.68,280.34
9/27/2016,215.57,120.03,280.62
9/28/2016,216.64,120.41,282.99
9/29/2016,214.68,119.7,279.84
9/30/2016,216.3,120.37,282.27
10/3/2016,215.78,120.02,280.21
10/4/2016,214.68,119.77,278.87
10/5/2016,215.63,120.39,280.27
10/6/2016,215.78,120.57,280.86
10/7/2016,215.04,120.18,278.8
10/10/2016,216.16,120.95,281.14
10/11/2016,213.43,119.35,276.5
10/12/2016,213.71,119.39,277.58
10/13/2016,213.01,118.62,276.48
10/14/2016,213.12,119.06,276.34
10/17/2016,212.38,118.75,276.21
10/18/2016,213.71,119.5,277.72
10/19/2016,214.28,119.62,279
10/20/2016,213.88,119.32,277.91
10/21/2016,213.98,119.93,277.76
10/24/2016,214.89,121.31,279.04
10/25/2016,214.17,120.86,277.05
10/26/2016,213.74,120.25,275.56
10/27/2016,213.17,119.65,273.35
10/28/2016,212.54,119.71,272.8
10/31/2016,212.55,119.72,274.77
11/1/2016,211.01,118.75,271.75
11/2/2016,209.74,117.83,269.11
11/3/2016,208.78,116.93,268.63
11/4/2016,208.55,116.6,269.07
11/7/2016,213.15,119.28,274.75
11/8/2016,214.11,119.87,275.43
11/9/2016,216.3792,119.7,280.44
11/10/2016,216.92,118.05,281.69
11/11/2016,216.42,118.77,284.47
11/14/2016,216.59,117.12,289
11/15/2016,218.28,118.69,290.42
11/16/2016,217.87,119.72,290.48
11/17/2016,218.99,120.67,292.36
11/18/2016,218.5,120.39,292.42
11/21/2016,220.15,121.57,294.43
11/22/2016,220.58,121.73,296.52
11/23/2016,220.7,121.3,297.83
11/24/2016,220.7,121.3,297.83
11/25/2016,221.52,121.62,298.69
11/28/2016,220.48,121.54,296.52
11/29/2016,220.91,121.69,297.22
11/30/2016,220.38,120.35,296.43
12/1/2016,219.57,117.43,295.75
12/2/2016,219.68,117.87,295.99
12/5/2016,221,119.19,299.25
12/6/2016,221.7,119.57,302.24
12/7/2016,224.6,121.68,305.7
12/8/2016,225.15,122.37,309.09
12/9/2016,226.51,123.02,308.39
12/12/2016,226.25,122.42,306.64
12/13/2016,227.76,123.82,307.22
12/14/2016,225.88,123.02,303.34
12/15/2016,226.81,123.56,304.68
12/16/2016,225.04,122.69,302.93
12/19/2016,225.53,123.41,304.66
12/20/2016,226.4,123.83,306.45
