underlying,name
AMLP,ALPS ETF TR ALERIAN MLP
ARKF,ARK ETF TR FINTECH INNOVA
ARKK,ARK ETF TR INNOVATION ETF
ASHR,DBX ETF TR XTRACK HRVST CSI
BRZU,DIREXION SHS ETF TR BRZ BL 2X SHS
DIA,SPDR DOW JONES INDL AVERAGE ET UT SER 1
DUST,DIREXION SHS ETF TR DAILY GOLD MINER
EEM,ISHARES TR MSCI EMG MKT ETF
EFA,ISHARES TR MSCI EAFE ETF
EMB,ISHARES TR JPMORGAN USD EMG
ERX,DIREXION SHS ETF TR DLY ENRGY BULL2X
EWH,ISHARES INC MSCI HONG KG ETF
EWJ,ISHARES INC MSCI JPN ETF NEW
EWU,ISHARES TR MSCI UK ETF NEW
EWW,ISHARES INC MSCI MEXICO ETF
EWY,ISHARES INC MSCI STH KOR ETF
EWZ,ISHARES INC MSCI BRAZIL ETF
FAS,DIREXION SHS ETF TR DLY FIN BULL NEW
FAZ,DIREXION SHS ETF TR DAILY FINL BEAR
FEZ,SPDR INDEX SHS FDS EURO STOXX 50
FXE,INVESCO CURRENCYSHARES EURO TR EURO SHS
FXI,ISHARES TR CHINA LG-CAP ETF
FXY,INVESCO CURRENCYSHARES JAPANES JAPANESE YEN
GDX,VANECK VECTORS ETF TR GOLD MINERS ETF
GDXJ,VANECK VECTORS ETF TR JR GOLD MINERS E
GLD,SPDR GOLD TR GOLD SHS
HYG,ISHARES TR IBOXX HI YD ETF
IAU,ISHARES GOLD TR ISHARES
IBB,ISHARES TR NASDAQ BIOTECH
ICLN,ISHARES TR GL CLEAN ENE ETF
IEF,ISHARES TR BARCLAYS 7 10 YR
INDA,ISHARES TR MSCI INDIA ETF
ITB,ISHARES TR US HOME CONS ETF
IVV,ISHARES TR CORE S&P500 ETF
IWF,ISHARES TR RUS 1000 GRW ETF
IWM,ISHARES TR RUSSELL 2000 ETF
IYR,ISHARES TR U.S. REAL ES ETF
JDST,DIREXION SHS ETF TR DLY JR GOLD 2X
JETS,ETF SER SOLUTIONS US GLB JETS
JNK,SPDR SER TR BLOOMBERG BRCLYS
JNUG,DIREXION SHS ETF TR DAILY JR GLD MIN
KRE,SPDR SER TR S&P REGL BKG
LABD,DIREXION SHS ETF TR DAILY S&P BIOTEC
LABU,DIREXION SHS ETF TR SP BIOTCH BL NEW
LQD,ISHARES TR IBOXX INV CP ETF
MDY,SPDR S&P MIDCAP 400 ETF TR UTSER1 S&PDCRP
MJ,ETF MANAGERS TR ETFMG ALTR HRVST
NUGT,DIREXION SHS ETF TR DLY GOLD INDX 2X
OIH,VANECK VECTORS ETF TR OIL SVCS ETF
QQQ,INVESCO QQQ TR UNIT SER 1
RSX,VANECK VECTORS ETF TR RUSSIA ETF
SDS,PROSHARES TR ULTRASHRT S&P500
SIL,GLOBAL X FDS GLOBAL X SILVER
SILJ,ETF MANAGERS TR PRIME JUNIR SLVR
SLV,ISHARES SILVER TR ISHARES
SMH,VANECK VECTORS ETF TR SEMICONDUCTOR ET
SPY,SPDR S&P 500 ETF TR TR UNIT
TAN,INVESCO EXCH TRADED FD TR II SOLAR ETF
TBT,PROSHARES TR PSHS ULTSH 20YRS
TECS,DIREXION SHS ETF TR DAILY TECHNOLOGY
TLT,ISHARES TR 20 YR TR BD ETF
TZA,DIREXION SHS ETF TR DAILY SM CP BEAR
UCO,PROSHARES TR II ULTA BLMBG 2017
UNG,UNITED STS NAT GAS FD LP UNIT PAR
UPRO,PROSHARES TR ULTRPRO S&P500
USO,UNITED STS OIL FD LP UNITS
UUP,INVESCO DB US DLR INDEX TR BULLISH FD
VWO,VANGUARD INTL EQUITY INDEX FDS FTSE EMR MKT ETF
XBI,SPDR SER TR S&P BIOTECH
XHB,SPDR SER TR S&P HOMEBUILD
XLB,SELECT SECTOR SPDR TR SBI MATERIALS
XLC,SELECT SECTOR SPDR TR COMMUNICATION
XLE,SELECT SECTOR SPDR TR ENERGY
XLF,SELECT SECTOR SPDR TR SBI INT-FINL
XLI,SELECT SECTOR SPDR TR SBI INT-INDS
XLK,SELECT SECTOR SPDR TR TECHNOLOGY
XLP,SELECT SECTOR SPDR TR SBI CONS STPLS
XLU,SELECT SECTOR SPDR TR SBI INT-UTILS
XLV,SELECT SECTOR SPDR TR SBI HEALTHCARE
XLY,SELECT SECTOR SPDR TR SBI CONS DISCR
XME,SPDR SER TR S&P METALS MNG
XOP,SPDR SER TR S&P OILGAS EXP
XRT,SPDR SER TR S&P RETAIL ETF
